2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 20.42.65.88 -> 10.172.150.168 | proto=6
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 20.42.65.88 -> 10.172.150.168 | proto=6
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:08 | 20.42.65.88 -> 10.172.150.168 | proto=6
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:08 | 20.42.65.88 -> 10.172.150.168 | proto=6
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
